Empresa,ISE 2021,Ticker,Qtde anos ISE
AES BRASIL,Sim,AESB3.SA,15
AFLUENTE T  ,Não,AFLT3.SA,0
ALUPAR,Não,ALUP3.SA,0
ALUPAR,Não,ALUP4.SA,0
AUREN,Não,AURE3.SA,0
AMPLA ENERG ,Não,CBEE3.SA,0
CEB         ,Não,CEBR3.SA,0
CEB         ,Não,CEBR5.SA,0
CEB         ,Não,CEBR6.SA,0
COELBA      ,Não,CEEB3.SA,0
COELBA      ,Não,CEEB5.SA,0
CEEE-D      ,Não,CEED3.SA,0
CEEE-D      ,Não,CEED4.SA,0
CELPE       ,Não,CEPE3.SA,0
CELPE       ,Não,CEPE5.SA,0
CELPE       ,Não,CEPE6.SA,0
CELESC      ,Não,CLSC3.SA,5
CELESC      ,Não,CLSC4.SA,5
CEMIG       ,Sim,CMIG3.SA,17
CEMIG       ,Sim,CMIG4.SA,17
COELCE      ,Não,COCE3.SA,9
COELCE      ,Não,COCE5.SA,9
CPFL ENERGIA,Sim,CPFE3.SA,15
COPEL       ,Sim,CPLE3.SA,16
COPEL       ,Sim,CPLE5.SA,16
COPEL       ,Sim,CPLE6.SA,16
COSERN      ,Não,CSRN3.SA,0
COSERN      ,Não,CSRN5.SA,0
COSERN      ,Não,CSRN6.SA,0
CEEE-T,Não,EEEL3.SA,0
CEEE-T,Não,EEEL4.SA,0
ENGIE BRASIL,Sim,EGIE3.SA,17
ELEKTRO     ,Não,EKTR3.SA,0
ELEKTRO     ,Não,EKTR4.SA,0
ELETROBRAS  ,Sim,ELET3.SA,15
ELETROBRAS  ,Sim,ELET5.SA,15
ELETROBRAS  ,Sim,ELET6.SA,15
EMAE        ,Não,EMAE3.SA,0
EMAE        ,Não,EMAE4.SA,0
ENERGIAS BR ,Sim,ENBR3.SA,9
ENEVA,Não,ENEV3.SA,0
ENERGISA    ,Não,ENGI3.SA,0
ENERGISA    ,Não,ENGI4.SA,0
ENERGISA MT,Não,ENMT3.SA,0
ENERGISA MT,Não,ENMT4.SA,0
EQTL PARA,Não,EQPA3.SA,0
EQTL PARA,Não,EQPA5.SA,0
EQTL PARA,Não,EQPA6.SA,0
EQUATORIAL  ,Não,EQTL3.SA,0
GER PARANAP ,Não,GEPA3.SA,0
GER PARANAP ,Não,GEPA4.SA,0
CELGPAR     ,Não,GPAR3.SA,0
LIGHT S/A   ,Sim,LIGT3.SA,15
ELETROPAR   ,Não,LIPR3.SA,0
OMEGAENERGIA,Não,MEGA3.SA,0
NEOENERGIA  ,Sim,NEOE3.SA,2
REDE ENERGIA,Não,REDE3.SA,0
RENOVA      ,Não,RNEW3.SA,0
RENOVA      ,Não,RNEW4.SA,0
TAESA       ,Não,TAEE3.SA,0
TAESA       ,Não,TAEE4.SA,0
TRAN PAULIST,Não,TRPL3.SA,0
TRAN PAULIST,Não,TRPL4.SA,0
